team,season,total_icetime,total_games,total_shots_against,total_saves,total_gsax,num_goalies,team_save_pct,team_gsax_per_60
NSH,2022,296219.0,84.0,2762.04,2493.0,55.259999999999984,3.0,0.9025937350653864,0.011193069992134194
NSH,2023,293863.0,90.0,2522.79,2259.0,2.9699999999999993,3.0,0.8954371945346224,0.0006064050254710527
NSH,2024,308858.0,92.0,2586.79,2145.0,-16.519999999999982,2.0,0.8292130400998922,-0.0032092417874880976
NSH,2025,61614.0,17.0,530.5,433.0,-0.21000000000000085,2.0,0.8162111215834119,-0.0002044989775051133
NYI,2021,295474.0,84.0,2582.63,2439.0,14.220000000000013,3.0,0.9443861490031479,0.002887563711189481
NYI,2022,295308.0,85.0,2612.04,2328.0,42.2,2.0,0.8912574080029403,0.00857409890690398
NYI,2023,296443.0,85.0,2776.9,2429.0,9.270000000000007,3.0,0.8747164103856818,0.0018762460236875231
NYI,2024,294620.0,89.0,2594.69,2100.0,7.779999999999989,5.0,0.8093452397010819,0.0015844138211933993
NYI,2025,54027.0,15.0,468.77000000000004,382.0,5.740000000000002,2.0,0.814898564327922,0.006374590482536512
NYR,2021,296180.0,88.0,2513.1400000000003,2325.0,23.639999999999993,4.0,0.9251374774186872,0.0047889796745222485
NYR,2022,296562.0,83.0,2442.44,2189.0,29.140000000000015,2.0,0.8962349126283552,0.005895563153741885
NYR,2023,295190.0,83.0,2553.49,2193.0,23.340000000000018,3.0,0.858824589091792,0.004744063145770525
NYR,2024,293449.0,86.0,2668.43,2196.0,16.110000000000007,3.0,0.8229558204637184,0.0032939284168628973
NYR,2025,57478.0,16.0,466.62,387.0,7.1800000000000015,2.0,0.8293686511508294,0.007495041581126694
OTT,2021,295069.0,86.0,2681.1,2476.0,5.350000000000005,4.0,0.9235015478721421,0.0010878811396656386
OTT,2022,291157.0,90.0,2558.49,2273.0,7.829999999999996,6.0,0.8884146508292001,0.0016135624422562388
OTT,2023,295916.0,91.0,2498.17,2151.0,-33.660000000000004,3.0,0.8610302741606856,-0.006824909771691968
OTT,2024,293901.0,88.0,2475.57,2115.0,21.03000000000001,4.0,0.8543486954519565,0.004293282431839294
OTT,2025,58460.0,16.0,438.11,352.0,-9.819999999999999,2.0,0.8034511880577937,-0.010078686281217926
PHI,2021,293847.0,85.0,2721.77,2492.0,-10.740000000000006,3.0,0.9155806699316988,-0.0021929779783356656
PHI,2022,295292.0,87.0,2643.78,2310.0,0.17999999999999972,3.0,0.8737489503665206,3.657396746271481e-05
PHI,2023,295572.0,90.0,2369.0,1967.0,-22.250000000000007,5.0,0.830308146897425,-0.004516665990012587
PHI,2024,295963.0,90.0,2421.83,1927.0,-42.51,3.0,0.7956793003637745,-0.008617969138034145
PHI,2025,54871.0,16.0,433.92999999999995,337.0,3.9200000000000017,3.0,0.7766229576198928,0.004286417233146837
PIT,2021,297125.0,86.0,2475.49,2355.0,15.989999999999986,3.0,0.9513268080258859,0.0032289440471182135
PIT,2022,295523.0,89.0,2614.18,2424.0,1.2300000000000022,3.0,0.9272506101339617,0.00024972675561631455
PIT,2023,295259.0,92.0,2679.14,2232.0,1.2000000000000073,3.0,0.8331031599692439,0.00024385370132663334
PIT,2024,296592.0,89.0,2630.66,2185.0,-10.320000000000007,3.0,0.8305900420426814,-0.0020877164589739455
PIT,2025,61598.0,17.0,553.99,459.0,10.939999999999998,3.0,0.8285348110976732,0.010656190136043376
